Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks
6.49E+17,https://twitter.com/USCTrials/status/649293177409679360,Diagnosed with #KidneyCancer? Leading researcher David Quinn @KeckMedUSC is looking for #ClinicalTrial participants http://t.co/gispyAPj8L,01-29-2016 0:00,424,3,0.007075472,12,0,2,0,1,0
6.49E+17,https://twitter.com/USCTrials/status/649064976133525504,This clinical research study for #GynCSM is now accepting participants http://t.co/ea2ktYDEf9 http://t.co/RIuqAn51Jz,01-30-2016 0:00,411,8,0.01946472,3,0,1,1,4,0
6.49E+17,https://twitter.com/USCTrials/status/648875195688714240,Looking to test a medical device? Partner with #ClinicalTrial experts @KeckMedUSC http://t.co/kV7gLV5WT4,04-14-2016 0:00,548,8,0.01459854,3,0,2,3,1,0
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GLOBAL #STATISTICS UPDATE
(http://t.co/OsqHqoJixA)
Top Percentile of all Genres in the #World.
Among 4 Million Industry Professionals. #USA",01-21-2016 0:00,548,23,0,223,2,2,3,12,
6.54E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rugbyworldcup: Huge thank you LEEDS. Perfect hosts for #ITA #CAN #SCO &amp; #USA. 1 weekend, 2 games, 96 points, 66,641 fans #RWC2015 http:…",01-06-2016 0:00,1769,42,2,413,0,8,2,14,
6.54E+17,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","DEPOSIT NOW &amp; GR88 WILL DOUBLE YOUR MONEY INSTANTLY!!

THAT'S UPTO £100 #FREE!

&gt; http://t.co/hfhGjXJoUe #BINGO #USA http://t.co/J6t9kA9xMA",04-18-2016 0:00,4551,25,1,227,0,1,0,16,
6.54E+17,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",#ultimate http://t.co/tt9w7PDHy0 For Sale: DJI Phantom 2 VERSION 3 RTF UAV… http://t.co/3wL2FsIJjc #usa #drone… http://t.co/pfJgesotEp,02-21-2016 0:00,1257,9,2,483,0,9,1,11,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…,02-08-2016 0:00,1011,0,1,310,2,5,5,15,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @OraliaSotoRoman: #Autumn #Arboretum #Dallas #usa http://t.co/EqpXogBpx9,02-15-2016 0:00,3174,40,2,61,0,0,2,2,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PIC: Former VP Namadi Sambo hospitalized in #USA http://t.co/pOvaWDsh1u #Nigeria #UK #DXB #Dubai #MyDubai #UAE #HaveYouDoneitNG #NIGHTCAFE,01-13-2016 0:00,3617,31,1,199,2,9,2,0,
6.54E+17,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","15:10 #USA #Join #New #Auction #Site, No #Selling Fees! Member Fee Only! #Free #Lifetime #Member #Upgrade #Special! http://t.co/VClmEXsvKD",02-10-2016 0:00,4786,30,1,393,2,9,5,3,
6.54E+17,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","15:10 #USA What was 1st, chicken (users) or the egg (listings)? #USERS! #Join &amp; get #Lifetime #Member #Upgrade #Free! http://t.co/uvtNFAiJRx",01-04-2016 0:00,2893,13,2,336,1,5,6,11,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Dawg_Dynasty #USA <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>,04-13-2016 0:00,604,42,0,408,0,2,5,13,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",This #IT #job might be a great fit for you: Developer - http://t.co/nnnoRsx3y0 #USA #Veterans #Hiring #CareerArc,05-01-2016 0:00,612,17,0,452,2,10,3,9,
6.54E+17,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","---&gt;&gt; http://t.co/tetzqItyma

THE BEST OF 80's MUSIC
#NOWPLAYING
 Stevie Wonder
 Part time lover

#Webradio #Hits #France  #USA #RT",01-08-2016 0:00,4289,21,1,196,0,7,6,1,
6.54E+17,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","RT @earth___planet: Genesee River, #NewYork #USA http://t.co/tC6DdGZkoU",02-14-2016 0:00,4687,33,0,178,1,3,6,4,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",Want to work at Oracle? We're #hiring in #USA! Click for details: http://t.co/mNQDaP5UMq #IT #Job #Jobs #CareerArc,04-19-2016 0:00,2122,20,1,131,0,4,6,6,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @geovannyvicentr: Thanks @CR_School for recognizing the progress of your students #CRSchoolDC #CarlosRosarioSchoolDC #Latinos #DC #USA h…,01-26-2016 0:00,1382,37,1,340,2,8,5,0,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#cuba #bolivia #usa Cinco décadas al servicio de la ciencia de la atmósfera. Aniversario ... http://t.co/0rWmXk1lBA #chile#europa#espana,04-18-2016 0:00,3531,29,1,432,2,2,1,15,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…,02-23-2016 0:00,4624,45,2,306,1,5,3,4,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Obama yells ""FORE!""

#USA dropping tons of ammo into the middle of nowhere
hoping the “right” people find it
#Syria
http://t.co/yo1DEBIEEN",02-09-2016 0:00,1985,24,1,379,2,3,1,8,
6.54E+17,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",<ed><U+00A0><U+00BD><ed><U+00B9><U+008A> #weloveredhair #weloveredheads #orlando #usa @ Orlando - Florida EUA https://t.co/6N4vyT2wmm,04-28-2016 0:00,3211,17,0,291,1,10,4,1,
6.54E+17,"<a href=""https://twitter.com/Col_Connaughton"" rel=""nofollow"">Colin's Autotweeterpro5.3</a>",#USA Res/Cits : Sign #US #Petition to #Arrest #Netanyahu https://t.co/wwOiq947CZ #UN #gaza #palestine #israel http://t.co/xq2PAmRbaf,04-12-2016 0:00,4488,19,2,9,1,5,5,16,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We are Galactic History, Fans!
We are on a Mission too Mars.
@NASA #NASA #NASASocial 
#USA #MARS (03/04/2016 Launch) http://t.co/s4Wym8t1pz",02-05-2016 0:00,4174,4,0,29,2,4,2,3,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FescatAPP @RamonSans16 @fredforcat 
Vive la #LIBERTÉ
Vive la #Catalogne
Vive le peuple #Catalan
https://t.co/HSIA6ZHe0f
#Québec #ONU #USA",02-24-2016 0:00,874,44,2,36,0,4,1,15,
